"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/19/2014","AQS","060731006","1","6","ppb","6","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/20/2014","AQS","060731006","1","11","ppb","10","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/21/2014","AQS","060731006","1","7","ppb","7","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/22/2014","AQS","060731006","1","16","ppb","15","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/23/2014","AQS","060731006","1","22","ppb","21","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/24/2014","AQS","060731006","1","15","ppb","14","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/25/2014","AQS","060731006","1","11","ppb","10","Alpine","20","83.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/26/2014","AQS","060731006","1","11","ppb","10","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/27/2014","AQS","060731006","1","8","ppb","8","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
"09/28/2014","AQS","060731006","1","4","ppb","4","Alpine","22","92.0000","42602","Nitrogen dioxide (NO2)","074","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.8423180008601","-116.768293"
