"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/28/2007","AQS","060732007","1","34","ppb","32","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"01/29/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"01/30/2007","AQS","060732007","1","51","ppb","48","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"01/31/2007","AQS","060732007","1","45","ppb","42","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/01/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/02/2007","AQS","060732007","1","44","ppb","42","Otay Mesa","22","92.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/03/2007","AQS","060732007","1","55","ppb","52","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/04/2007","AQS","060732007","1","54","ppb","51","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/05/2007","AQS","060732007","1","50","ppb","47","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/06/2007","AQS","060732007","1","56","ppb","53","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/07/2007","AQS","060732007","1","67","ppb","65","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/08/2007","AQS","060732007","1","62","ppb","60","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/09/2007","AQS","060732007","1","54","ppb","51","Otay Mesa","21","88.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/10/2007","AQS","060732007","1","71","ppb","69","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/11/2007","AQS","060732007","1","28","ppb","26","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/12/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/13/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/14/2007","AQS","060732007","1","49","ppb","46","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/15/2007","AQS","060732007","1","50","ppb","47","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/16/2007","AQS","060732007","1","63","ppb","61","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/17/2007","AQS","060732007","1","42","ppb","40","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/18/2007","AQS","060732007","1","36","ppb","34","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/19/2007","AQS","060732007","1","30","ppb","28","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/20/2007","AQS","060732007","1","41","ppb","39","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/21/2007","AQS","060732007","1","42","ppb","40","Otay Mesa","22","92.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/22/2007","AQS","060732007","1","32","ppb","30","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/23/2007","AQS","060732007","1","34","ppb","32","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/24/2007","AQS","060732007","1","36","ppb","34","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/25/2007","AQS","060732007","1","34","ppb","32","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/26/2007","AQS","060732007","1","38","ppb","36","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/27/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"02/28/2007","AQS","060732007","1","37","ppb","35","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/01/2007","AQS","060732007","1","42","ppb","40","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/02/2007","AQS","060732007","1","47","ppb","44","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/03/2007","AQS","060732007","1","40","ppb","38","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/04/2007","AQS","060732007","1","33","ppb","31","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/05/2007","AQS","060732007","1","63","ppb","61","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/06/2007","AQS","060732007","1","64","ppb","62","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/07/2007","AQS","060732007","1","64","ppb","62","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/08/2007","AQS","060732007","1","61","ppb","58","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/09/2007","AQS","060732007","1","35","ppb","33","Otay Mesa","21","88.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/10/2007","AQS","060732007","1","32","ppb","30","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/11/2007","AQS","060732007","1","55","ppb","52","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/12/2007","AQS","060732007","1","67","ppb","65","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/13/2007","AQS","060732007","1","59","ppb","56","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/14/2007","AQS","060732007","1","34","ppb","32","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/15/2007","AQS","060732007","1","37","ppb","35","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/16/2007","AQS","060732007","1","44","ppb","42","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/17/2007","AQS","060732007","1","31","ppb","29","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/18/2007","AQS","060732007","1","18","ppb","17","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/19/2007","AQS","060732007","1","20","ppb","19","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/20/2007","AQS","060732007","1","26","ppb","25","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/21/2007","AQS","060732007","1","31","ppb","29","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/22/2007","AQS","060732007","1","42","ppb","40","Otay Mesa","21","88.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/23/2007","AQS","060732007","1","48","ppb","45","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/24/2007","AQS","060732007","1","34","ppb","32","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/25/2007","AQS","060732007","1","17","ppb","16","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/26/2007","AQS","060732007","1","28","ppb","26","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/27/2007","AQS","060732007","1","17","ppb","16","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/28/2007","AQS","060732007","1","39","ppb","37","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/29/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/30/2007","AQS","060732007","1","49","ppb","46","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"03/31/2007","AQS","060732007","1","46","ppb","43","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
