"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/15/2007","AQS","060730003","5","12.1","ug/m3 LC","57","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"09/18/2007","AQS","060730003","5","11.4","ug/m3 LC","55","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"09/21/2007","AQS","060730003","5","5.2","ug/m3 LC","29","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"09/27/2007","AQS","060730003","5","17.2","ug/m3 LC","66","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"09/30/2007","AQS","060730003","5","16.4","ug/m3 LC","65","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/03/2007","AQS","060730003","5","12.7","ug/m3 LC","58","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/06/2007","AQS","060730003","5","8.5","ug/m3 LC","47","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/15/2007","AQS","060730003","5","11.5","ug/m3 LC","55","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/18/2007","AQS","060730003","5","8.8","ug/m3 LC","49","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/21/2007","AQS","060730003","5","14.7","ug/m3 LC","61","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/24/2007","AQS","060730003","5","53.4","ug/m3 LC","145","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
"10/27/2007","AQS","060730003","5","24.8","ug/m3 LC","80","El Cajon","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","810","Met One SASS/SuperSASS Teflon","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.7911940008595","-116.942092"
